acc,bioproject,organism,count,broad_cat,mbases,host,project_name,manual_annot,is_pig_assoc
SRR26496209,PRJNA880762,seawater metagenome,9,other,31642,,,(unnanotated),""
SRR15377933,PRJNA714922,soil metagenome,11,other,71780,,,(unnanotated),""
SRR18654541,PRJNA824007,compost metagenome,15,other,6993,"[""swine""]",,(unnanotated),""
SRR8466244,PRJNA502735,leaf litter metagenome,8,other,78269,"[""not applicable""]",,(unnanotated),""
SRR26496196,PRJNA880762,seawater metagenome,9,other,29980,,,(unnanotated),""
SRR11306547,PRJNA612576,sediment metagenome,10,other,16908,,,(unnanotated),""
SRR10769908,PRJNA591725,wastewater metagenome,16,other,16795,"[""pig faeces of farm C""]",,(unnanotated),""
SRR26457737,PRJNA1029126,soil metagenome,10,other,63732,"[""not applicable""]",,(unnanotated),""
SRR23086380,PRJNA919165,drinking water metagenome,14,other,64522,"[""not collected""]",,(unnanotated),""
SRR26496235,PRJNA880762,seawater metagenome,11,other,38037,,,(unnanotated),""
SRR13741620,PRJNA600179,mouse gut metagenome,13,other,10525,"[""Mus musculus""]",,(unnanotated),""
ERR4678649,PRJEB40798,wastewater metagenome,10,other,22740,,,(unnanotated),""
SRR12825423,PRJNA668816,sediment metagenome,16,other,38091,,,(unnanotated),""
SRR5823600,PRJNA393632,soil metagenome,8,other,25691,,,(unnanotated),""
ERR2431959,PRJEB25358,sediment metagenome,15,other,26397,,"[""Marine sediment microbiome""]",(unnanotated),""
SRR3181111,PRJNA309291,bovine gut metagenome,10,other,11778,"[""Bos taurus""]",,(unnanotated),""
SRR16630542,PRJNA776090,soil metagenome,8,other,37039,"[""Citrus reticulata""]",,(unnanotated),""
SRR5215143,PRJNA365050,termite gut metagenome,16,other,57505,"[""not applicable""]",,(unnanotated),""
ERR7438495,PRJEB48889,Rinodina peloleuca,12,other,11777,,,(unnanotated),""
ERR3801470,PRJEB33080,bovine gut metagenome,12,other,22443,,,(unnanotated),""
ERR2108712,PRJEB22302,groundwater metagenome,9,other,34448,,"[""SIP-naphthalene Temporal C-flux""]",(unnanotated),""
SRR29699971,PRJNA1131488,sediment metagenome,12,other,24337,,,(unnanotated),""
SRR5195142,PRJNA362455,rhizosphere metagenome,11,other,34955,,,(unnanotated),""
SRR26080960,PRJNA1014595,marine sediment metagenome,10,other,58657,"[""not applicable""]",,(unnanotated),""
SRR7093793,PRJNA441473,soil metagenome,13,other,47948,"[""not applicable""]",,(unnanotated),""
SRR3053183,PRJNA292471,bovine metagenome,9,other,5012,"[""Bos taurus""]",,(unnanotated),""
SRR7042383,PRJNA449266,soil metagenome,9,other,50283,,,(unnanotated),""
SRR11833507,PRJNA620623,soil metagenome,11,other,59369,"[""not applicable""]",,(unnanotated),""
SRR29488227,PRJNA1126017,rhizosphere metagenome,16,other,139757,,,(unnanotated),""
SRR16523998,PRJNA708967,bioreactor sludge metagenome,16,other,26149,,,(unnanotated),""
SRR5436190,PRJNA365673,soil metagenome,13,other,41450,"[""not applicable""]",,(unnanotated),""
SRR9694932,PRJNA539516,soil metagenome,11,other,50005,"[""not applicable""]",,(unnanotated),""
SRR13425444,PRJNA691704,lagoon metagenome,16,other,401117,,,(unnanotated),""
SRR20707897,PRJNA860652,Equus asinus,10,other,12946,,,(unnanotated),""
SRR18394694,PRJNA815894,bovine gut metagenome,13,other,22756,"[""buffalo""]",,(unnanotated),""
SRR5215144,PRJNA365051,termite gut metagenome,11,other,53647,"[""not applicable""]",,(unnanotated),""
SRR8451824,PRJNA203445,food metagenome,14,other,77353,"[""Chicken""]",,(unnanotated),""
SRR7822621,PRJNA435427,symbiont metagenome,10,other,43860,,,(unnanotated),""
SRR26459388,PRJNA1028263,soil metagenome,10,other,16770,,,(unnanotated),""
