organism,is_pig_assoc,acc,bioproject,count,broad_cat,mbases,host,project_name
sheep gut metagenome,1,SRR17274354,PRJNA783381,12,other,10272,"[""sheep115""]",
bovine gut metagenome,1,SRR5371451,PRJNA356291,16,other,33623,"[""Bos taurus""]",
bovine gut metagenome,1,SRR22213191,PRJNA898608,8,other,7411,"[""Bos taurus indicus""]",
bovine gut metagenome,1,SRR9008934,PRJNA539663,15,other,54641,"[""Bos taurus""]",
termite gut metagenome,0,SRR14710892,PRJNA732531,11,other,16839,"[""Spinitermes trispinosus""]",
Bos taurus,1,ERR2019385,PRJEB21508,9,other,15120,,"[""Ruminomics EU FP7""]"
bovine gut metagenome,1,ERR3801447,PRJEB33080,11,other,13661,,
bovine gut metagenome,1,SRR3181108,PRJNA309291,14,other,17635,"[""Bos taurus""]",
bovine gut metagenome,1,SRR5371405,PRJNA356291,15,other,14666,"[""Bos taurus""]",
bovine gut metagenome,1,SRR5371371,PRJNA356291,16,other,45437,"[""Bos taurus""]",
bovine gut metagenome,1,ERR3275125,PRJEB31266,13,other,38557,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,ERR3801484,PRJEB33080,10,other,14054,,
bovine gut metagenome,1,ERR3211479,PRJEB31266,8,other,11216,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,SRR5371503,PRJNA356291,16,other,46529,"[""Bos taurus""]",
Bos taurus,1,ERR2019393,PRJEB21508,8,other,19686,,"[""Ruminomics EU FP7""]"
Equus asinus,1,SRR20707895,PRJNA860652,11,other,14988,,
bovine metagenome,1,SRR3053153,PRJNA292471,8,other,6238,"[""Bos taurus""]",
bovine gut metagenome,1,ERR3275137,PRJEB31266,8,other,41531,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,ERR3801469,PRJEB33080,12,other,19949,,
Bos taurus,1,ERR2019390,PRJEB21508,11,other,22254,,"[""Ruminomics EU FP7""]"
